rating,date,variation,love_dummy,great_dummy,like_dummy,easy_dummy,works_dummy,good_dummy,doesnt_dummy,quality_dummy,better_dummy,well_dummy
4,30-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
2,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,1,0,0,0,0
4,30-Jul-18,Charcoal Fabric ,0,0,1,0,0,0,1,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,1,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,30-Jul-18,Oak Finish ,0,1,1,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,1,0,0,1,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,30-Jul-18,Sandstone Fabric ,0,0,0,0,0,0,0,0,0,1
5,30-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,0,0,0,1
5,30-Jul-18,Charcoal Fabric ,1,0,0,1,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,30-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,1,0,0,1,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,30-Jul-18,Sandstone Fabric ,1,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,0,0,0,0,0,1,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,1
5,30-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
4,30-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,1,0
5,30-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,1,0,0,0,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,1,1,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,1,0,0,0,0,0,0,1,0,0
4,30-Jul-18,Sandstone Fabric ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,1,1,0,0,0,1,0,0,0,0
1,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,1,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
3,30-Jul-18,Sandstone Fabric ,0,0,0,0,0,0,0,0,0,1
5,30-Jul-18,Charcoal Fabric ,0,0,0,1,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,1,0,0,0,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,0,0,1,0,0,0,0,0,1,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
3,30-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,1,0,0,0
5,30-Jul-18,Sandstone Fabric ,1,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Sandstone Fabric ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,1,0,0
5,30-Jul-18,Heather Gray Fabric ,0,0,0,1,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,1,0,1,0,0,0,0,0,0,0
4,30-Jul-18,Charcoal Fabric ,0,0,1,0,0,0,0,0,0,1
5,30-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,1,0
5,30-Jul-18,Charcoal Fabric ,0,1,1,0,1,1,0,1,0,0
5,30-Jul-18,Oak Finish ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,1,1,0,0,1,0,0,0,0,0
5,30-Jul-18,Walnut Finish ,0,0,0,0,0,0,0,1,0,0
1,30-Jul-18,Sandstone Fabric ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,1,0,0,0,0,0,0,0,0,0
4,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,1,0,0,0,0,0,0
3,30-Jul-18,Charcoal Fabric ,0,0,1,0,0,0,0,1,0,0
5,30-Jul-18,Walnut Finish ,0,1,0,0,0,0,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,1,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,1,0,0,1,0,1,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,1,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,0,0,0,1,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,1,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,0,1,0,0
2,30-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Oak Finish ,0,0,0,0,0,0,0,0,0,0
5,30-Jul-18,Heather Gray Fabric ,0,0,0,0,0,1,0,1,0,0
4,30-Jul-18,Charcoal Fabric ,0,1,0,0,1,0,0,0,1,0
5,30-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
3,29-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,1,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,1,0,0,0,0,0,0
2,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
3,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,1,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
3,29-Jul-18,Heather Gray Fabric ,0,0,1,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,1,0,0,0,0,0,1,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,0,0,0,1
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,1,0,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,1,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Sandstone Fabric ,1,1,0,0,0,0,1,1,1,0
5,29-Jul-18,Sandstone Fabric ,0,0,1,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,1,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
3,29-Jul-18,Sandstone Fabric ,0,0,0,1,0,0,0,0,0,1
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,1,0,0,0,0,1
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,1,0,0,0,0,0,0
2,29-Jul-18,Sandstone Fabric ,0,1,0,0,0,0,1,0,0,0
4,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Heather Gray Fabric ,1,0,0,0,0,1,1,1,0,0
4,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,1,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,1,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,1,0,0,0,1,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Heather Gray Fabric ,0,0,0,1,0,0,0,1,1,0
5,29-Jul-18,Heather Gray Fabric ,1,1,0,1,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,1,0,1,0,0,1
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,1,0,1,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,1,0,0,0,0,0
4,29-Jul-18,Heather Gray Fabric ,0,1,0,0,0,0,0,0,0,0
4,29-Jul-18,Charcoal Fabric ,1,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,1,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,1,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,1,1,1,0,0,1,0,0
5,29-Jul-18,Sandstone Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,1,0,0,0,0,0,0,0,0,0
2,29-Jul-18,Sandstone Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,1,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,0,1,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,1,0,0,1,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Sandstone Fabric ,0,0,1,0,0,0,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,0,0,1,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,0,1,0,1,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,1,0,0,1,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
3,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,1,0,1,1
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,1,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Charcoal Fabric ,0,0,0,1,0,0,0,0,0,0
4,29-Jul-18,Charcoal Fabric ,0,0,1,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Heather Gray Fabric ,1,1,0,0,0,0,0,1,0,0
5,29-Jul-18,Heather Gray Fabric ,1,0,0,1,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Oak Finish ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,1,0,0,1,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,0,0,1,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,1,0,0,0,1,0,1,0,0
5,29-Jul-18,Sandstone Fabric ,0,1,0,0,0,0,0,1,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,1,1,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,1,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,1,0,0,0,0,1,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,0,0,0,1,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,1,0,0
5,29-Jul-18,Sandstone Fabric ,0,1,0,0,0,0,0,1,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,1,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,1,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,1,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,0,1,0,1,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,1,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Heather Gray Fabric ,0,0,1,0,0,0,1,0,0,0
2,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
4,29-Jul-18,Sandstone Fabric ,0,1,0,0,1,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,1,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,1,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,1,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,1,0,1,0,0,0,1,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,1,0,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Sandstone Fabric ,1,1,0,0,0,0,0,0,0,0
4,29-Jul-18,Sandstone Fabric ,0,0,0,0,0,1,0,1,0,0
5,29-Jul-18,Heather Gray Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,1,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,1,0,0,0,0,0,0,0,0
4,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,1,0,0,0,0,0,0
3,29-Jul-18,Heather Gray Fabric ,0,0,0,0,0,0,1,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,1,0
5,29-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,29-Jul-18,Charcoal Fabric ,0,0,0,0,0,1,0,0,0,0
5,29-Jul-18,Heather Gray Fabric ,0,1,0,1,0,0,0,0,0,0
4,28-Jul-18,Charcoal Fabric ,0,0,1,0,0,1,0,0,0,0
5,28-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,28-Jul-18,Charcoal Fabric ,1,0,0,0,0,0,0,0,0,0
5,28-Jul-18,Charcoal Fabric ,0,0,0,0,0,0,0,0,0,0
